measure	value
mean_gold_head_distance	3.942211055276382
mean_pred_head_distance	3.8099874371859297
mean_head_distance_delta	0.0361180904522613
median_gold_head_distance	3.0
median_pred_head_distance	3.0
median_head_distance_delta	-1.0
