sukwera-itá	sukwera+N+ABS+PL
reyumuperewa	yumuperewa+V+2+SG
taupurandú	purandú+V+3+PL
tanheengari	nheengari+V+3+PL
tamburi	mburi+V+3+PL
seẽ	seẽ+A
meẽsara-itá	meẽsara+N+PL
sumitera-itá	sumitera+N+ABS+PL
rakusawa	sakusawa+N+CONT+SG
rendira	tendira+N+CONT+SG
reyumusé	yumusé+V+2+SG
pemururú	mururú+V+2+PL
tauyapumi	yapumi+V+3+PL
mbuesara	mbuesara+N+SG
tauyuka	yuka+V+3+PL
uyuka	yuka+V+3
sesá-itá	sesá+N+ABS+PL
igara-itá	igara+N+PL
remaãĩ	maãĩ+V+2+SG
yandú	yandú+N+SG
tasarú	sarú+V+3+PL
uyumuyeréu	yumuyeréu+V+3
ayusí	yusí+V+1+SG
remukwekatú	mukwekatú+V+2+SG
remuéu	muéu+V+2+SG
yampuranga	mpuranga+V+1+PL
akwáu	kwáu+V+1+SG
retama-itá	tetama+N+CONT+PL
yakarãi	karãi+V+1+PL
reyumunani	yumunani+V+2+SG
sapú	sapú+N+NCONT+SG
peyuká	yuká+V+2+PL
katú	katú+ADV
ixé	ixé+PRON
rikusawa	sikusawa+N+CONT+SG
uikú	ikú+V+3
maã	maã+N+SG
pekupiri	kupiri+V+2+PL
itaité	itaité+N+SG
sé	sé+A
suaya-itá	suaya+N+ABS+PL
usaã	saã+V+3
peyakáu	yakáu+V+2+PL
simirikú-itá	simirikú+N+ABS+PL
uyatikú	yatikú+V+3
ayumaã	yumaã+V+1+SG
kawera	kawera+N+SG
ambira	ambira+N+SG
sikwesawa	sikwesawa+N+NCONT+SG
tayuráu	yuráu+V+3+PL
kiwíra-itá	kiwíra+N+PL
yurú-itá	yurú+N+PL
yukira	yukira+N+SG
amusasiara	musasiara+V+1+SG
taína-itá	taína+N+PL
nhaãsé	nhaãsé+CONJ
tausaã	saã+V+3+PL
remuputira	muputira+V+2+SG
apitá	pitá+V+1+SG
mayé	mayé+ADVR
uka-itá	uka+N+ABS+PL
puxiwera	puxiwera+A
tauyumaã	yumaã+V+3+PL
supiá-itá	supiá+N+ABS+PL
pepuú	puú+V+2+PL
asuantí	suantí+V+1+SG
siputí-itá	tiputí+N+NCONT+PL
uyumeẽ	yumeẽ+V+3
yamunhã	munhã+V+1+PL
penheengari	nheengari+V+2+PL
apinaitika	pinaitika+V+1+SG
saurú	saurú+N+SG
upurandú	purandú+V+3
tianha	tianha+N+SG
reganani	ganani+V+2+SG
repisika	pisika+V+2+SG
mituú-itá	mituú+N+PL
tutira-itá	tutira+N+PL
ximirikú-itá	simirikú+N+NCONT+PL
tasuú	suú+V+3+PL
ikewara-itá	ikewara+N+PL
