mbuesawa-itá	mbuesawa+N+PL
meẽsara	meẽsara+N+SG
meẽsara-itá	meẽsara+N+PL
memũingara	memũingara+N+SG
memũingara-itá	memũingara+N+PL
memũitawa	memũitawa+N+SG
memũitawa-itá	memũitawa+N+PL
memũitendawa	memũitendawa+N+SG
memũitendawa-itá	memũitendawa+N+PL
mena	mena+N+SG
mena-itá	mena+N+PL
meyú	meyú+N+SG
meyú-itá	meyú+N+PL
miapé	miapé+N+SG
miapé-itá	miapé+N+PL
mimbira	mimbira+N+SG
mimbira-itá	mimbira+N+PL
mimiwara	mimiwara+N+SG
mimiwara-itá	mimiwara+N+PL
mirá	mirá+N+SG
mirá-itá	mirá+N+PL
mira	mira+N+SG
mira-itá	mira+N+PL
mitima	mitima+N+SG
mitima-itá	mitima+N+PL
mituú	mituú+N+SG
mituú-itá	mituú+N+PL
mũ	mũ+N+SG
mũ-itá	mũ+N+PL
mundawasú	mundawasú+N+SG
mundawasú-itá	mundawasú+N+PL
munhangawa	munhangawa+N+SG
munhangawa-itá	munhangawa+N+PL
mupinimasara	mupinimasara+N+SG
mupinimasara-itá	mupinimasara+N+PL
murakí	murakí+N+SG
murakí-itá	murakí+N+PL
murakimukũi	murakimukũi+N+SG
murakimukũi-itá	murakimukũi+N+PL
murakimusapiri	murakimusapiri+N+SG
murakimusapiri-itá	murakimusapiri+N+PL
murakipí	murakipí+N+SG
murakipí-itá	murakipí+N+PL
murasí	murasí+N+SG
murasí-itá	murasí+N+PL
nambí	nambí+N+SG
nambí-itá	nambí+N+PL
naná	naná+N+SG
naná-itá	naná+N+PL
nheenga	nheenga+N+SG
nheenga-itá	nheenga+N+PL
nheengarisara	nheengarisara+N+SG
nheengarisara-itá	nheengarisara+N+PL
nheengarisawa	nheengarisawa+N+SG
nheengarisawa-itá	nheengarisawa+N+PL
nheengatú	nheengatú+N+SG
nheengatú-itá	nheengatú+N+PL
pakuatiwa	pakuatiwa+N+SG
pakuatiwa-itá	pakuatiwa+N+PL
papera	papera+N+SG
papera-itá	papera+N+PL
paranã	paranã+N+SG
paranã-itá	paranã+N+PL
paranãpura	paranãpura+N+SG
paranãpura-itá	paranãpura+N+PL
Paranãwasú	Paranãwasú+N+SG
Paranãwasú-itá	Paranãwasú+N+PL
paranãwasú	paranãwasú+N+SG
paranãwasú-itá	paranãwasú+N+PL
pausawa	pausawa+N+SG
pausawa-itá	pausawa+N+PL
paya	paya+N+SG
paya-itá	paya+N+PL
payé	payé+N+SG
payé-itá	payé+N+PL
pé	pé+N+ABS+SG
pé-itá	pé+N+ABS+PL
rapé	pé+N+CONT+SG
rapé-itá	pé+N+CONT+PL
sapé)	pé+N+NCONT+SG
sapé)-itá	pé+N+NCONT+PL
pepú	pepú+N+SG
pepú-itá	pepú+N+PL
perewa	perewa+N+SG
perewa-itá	perewa+N+PL
pi	pi+N+SG
pi-itá	pi+N+PL
piá	piá+N+SG
piá-itá	piá+N+PL
pikasú	pikasú+N+SG
pikasú-itá	pikasú+N+PL
pinaitikasara	pinaitikasara+N+SG
pinaitikasara-itá	pinaitikasara+N+PL
pindá	pindá+N+SG
pindá-itá	pindá+N+PL
pindaíwa	pindaíwa+N+SG
pindaíwa-itá	pindaíwa+N+PL
pindawa	pindawa+N+SG
pindawa-itá	pindawa+N+PL
pinimasara	pinimasara+N+SG
pinimasara-itá	pinimasara+N+PL
pinimasawa	pinimasawa+N+SG
pinimasawa-itá	pinimasawa+N+PL
pinimatawa	pinimatawa+N+SG
pinimatawa-itá	pinimatawa+N+PL
pira	pira+N+SG
pira-itá	pira+N+PL
pirá	pirá+N+SG
pirá-itá	pirá+N+PL
piraíwa	piraíwa+N+SG
piraíwa-itá	piraíwa+N+PL
pirarukú	pirarukú+N+SG
pirarukú-itá	pirarukú+N+PL
pirera	pirera+N+SG
pirera-itá	pirera+N+PL
pisawera	pisawera+N+SG
pisawera-itá	pisawera+N+PL
pisayé	pisayé+N+SG
pisayé-itá	pisayé+N+PL
pitera	pitera+N+SG
pitera-itá	pitera+N+PL
pituna	pituna+N+SG
pituna-itá	pituna+N+PL
pixana	pixana+N+SG
pixana-itá	pixana+N+PL
pixunasawa	pixunasawa+N+SG
pixunasawa-itá	pixunasawa+N+PL
pu	pu+N+SG
pu-itá	pu+N+PL
purakisawa	purakisawa+N+SG
purakisawa-itá	purakisawa+N+PL
purandusawa	purandusawa+N+SG
purandusawa-itá	purandusawa+N+PL
purangasawa	purangasawa+N+SG
purangasawa-itá	purangasawa+N+PL
purasisawa	purasisawa+N+SG
purasisawa-itá	purasisawa+N+PL
pururé	pururé+N+SG
pururé-itá	pururé+N+PL
putiá	putiá+N+SG
putiá-itá	putiá+N+PL
putira	putira+N+SG
putira-itá	putira+N+PL
puxirungara	puxirungara+N+SG
puxirungara-itá	puxirungara+N+PL
pwãpé	pwãpé+N+SG
pwãpé-itá	pwãpé+N+PL
saanga	saanga+N+ABS+SG
saanga-itá	saanga+N+ABS+PL
raanga	saanga+N+CONT+SG
raanga-itá	saanga+N+CONT+PL
saanga)	saanga+N+NCONT+SG
saanga)-itá	saanga+N+NCONT+PL
saisusawa	saisusawa+N+SG
saisusawa-itá	saisusawa+N+PL
sakanga	sakanga+N+ABS+SG
sakanga-itá	sakanga+N+ABS+PL
rakanga	sakanga+N+CONT+SG
rakanga-itá	sakanga+N+CONT+PL
sakanga)	sakanga+N+NCONT+SG
sakanga)-itá	sakanga+N+NCONT+PL
sakusawa	sakusawa+N+ABS+SG
sakusawa-itá	sakusawa+N+ABS+PL
rakusawa	sakusawa+N+CONT+SG
rakusawa-itá	sakusawa+N+CONT+PL
sakusawa)	sakusawa+N+NCONT+SG
sakusawa)-itá	sakusawa+N+NCONT+PL
sangawa	sangawa+N+ABS+SG
sangawa-itá	sangawa+N+ABS+PL
rangawa	sangawa+N+CONT+SG
rangawa-itá	sangawa+N+CONT+PL
sangawa)	sangawa+N+NCONT+SG
sangawa)-itá	sangawa+N+NCONT+PL
sanha	sanha+N+ABS+SG
sanha-itá	sanha+N+ABS+PL
ranha	sanha+N+CONT+SG
ranha-itá	sanha+N+CONT+PL
sanha)	sanha+N+NCONT+SG
sanha)-itá	sanha+N+NCONT+PL
sapú	sapú+N+ABS+SG
sapú-itá	sapú+N+ABS+PL
rapú	sapú+N+CONT+SG
rapú-itá	sapú+N+CONT+PL
sapú)	sapú+N+NCONT+SG
sapú)-itá	sapú+N+NCONT+PL
sapukaya	sapukaya+N+SG
sapukaya-itá	sapukaya+N+PL
sasisawa	sasisawa+N+SG
sasisawa-itá	sasisawa+N+PL
